139,1,20140217,0.9049,USD/AUD
140,4,20140217,91.93,JPY/AUD
141,3,20140217,0.66,EUR/AUD
142,1,20140218,0.9057,USD/AUD
143,4,20140218,92.86,JPY/AUD
144,3,20140218,0.6605,EUR/AUD
145,1,20140219,0.9017,USD/AUD
146,4,20140219,92.2,JPY/AUD
147,3,20140219,0.6551,EUR/AUD
148,1,20140220,0.8954,USD/AUD
149,4,20140220,91.29,JPY/AUD
150,3,20140220,0.6509,EUR/AUD
151,1,20140221,0.8992,USD/AUD
152,4,20140221,92.18,JPY/AUD
153,3,20140221,0.6555,EUR/AUD
154,1,20140222,0.8992,USD/AUD
155,4,20140222,92.18,JPY/AUD
156,3,20140222,0.6555,EUR/AUD
157,1,20140223,0.8992,USD/AUD
158,4,20140223,92.18,JPY/AUD
159,3,20140223,0.6555,EUR/AUD
160,1,20140224,0.8968,USD/AUD
161,4,20140224,91.7,JPY/AUD
162,3,20140224,0.6528,EUR/AUD
163,1,20140225,0.9034,USD/AUD
164,4,20140225,92.65,JPY/AUD
165,3,20140225,0.6577,EUR/AUD
166,1,20140226,0.9011,USD/AUD
167,4,20140226,92.2,JPY/AUD
168,3,20140226,0.6558,EUR/AUD
169,1,20140227,0.894,USD/AUD
170,4,20140227,91.49,JPY/AUD
171,3,20140227,0.6532,EUR/AUD
172,1,20140228,0.8947,USD/AUD
173,4,20140228,90.91,JPY/AUD
174,3,20140228,0.653,EUR/AUD
175,1,20140301,0.8947,USD/AUD
176,4,20140301,90.91,JPY/AUD
177,3,20140301,0.653,EUR/AUD
178,1,20140302,0.8947,USD/AUD
179,4,20140302,90.91,JPY/AUD
180,3,20140302,0.653,EUR/AUD
181,1,20140303,0.8912,USD/AUD
182,4,20140303,90.39,JPY/AUD
183,3,20140303,0.6468,EUR/AUD
184,1,20140304,0.893,USD/AUD
185,4,20140304,90.79,JPY/AUD
186,3,20140304,0.6503,EUR/AUD
187,1,20140305,0.896,USD/AUD
188,4,20140305,91.61,JPY/AUD
189,3,20140305,0.6525,EUR/AUD
190,1,20140306,0.9012,USD/AUD
191,4,20140306,92.57,JPY/AUD
192,3,20140306,0.6567,EUR/AUD
193,1,20140307,0.9088,USD/AUD
194,4,20140307,93.6,JPY/AUD
195,3,20140307,0.6558,EUR/AUD
196,1,20140308,0.9088,USD/AUD
197,4,20140308,93.6,JPY/AUD
198,3,20140308,0.6558,EUR/AUD
199,1,20140309,0.9088,USD/AUD
200,4,20140309,93.6,JPY/AUD
201,3,20140309,0.6558,EUR/AUD
202,1,20140310,0.9037,USD/AUD
203,4,20140310,93.13,JPY/AUD
204,3,20140310,0.6508,EUR/AUD
205,1,20140311,0.9029,USD/AUD
206,4,20140311,93.22,JPY/AUD
207,3,20140311,0.6512,EUR/AUD
208,1,20140312,0.8964,USD/AUD
209,4,20140312,92.33,JPY/AUD
210,3,20140312,0.647,EUR/AUD
211,1,20140313,0.9072,USD/AUD
212,4,20140313,93.25,JPY/AUD
213,3,20140313,0.6507,EUR/AUD
214,1,20140314,0.901,USD/AUD
215,4,20140314,91.62,JPY/AUD
216,3,20140314,0.65,EUR/AUD
217,1,20140315,0.901,USD/AUD
218,4,20140315,91.62,JPY/AUD
219,3,20140315,0.65,EUR/AUD
220,1,20140316,0.901,USD/AUD
221,4,20140316,91.62,JPY/AUD
222,3,20140316,0.65,EUR/AUD
223,1,20140317,0.9054,USD/AUD
224,4,20140317,91.87,JPY/AUD
225,3,20140317,0.6513,EUR/AUD
226,1,20140318,0.9083,USD/AUD
227,4,20140318,92.5,JPY/AUD
228,3,20140318,0.652,EUR/AUD
229,1,20140319,0.9119,USD/AUD
230,4,20140319,92.6,JPY/AUD
231,3,20140319,0.6551,EUR/AUD
232,1,20140320,0.902,USD/AUD
233,4,20140320,92.28,JPY/AUD
234,3,20140320,0.6521,EUR/AUD
235,1,20140321,0.9061,USD/AUD
236,4,20140321,92.75,JPY/AUD
237,3,20140321,0.6575,EUR/AUD
238,1,20140322,0.9061,USD/AUD
239,4,20140322,92.75,JPY/AUD
240,3,20140322,0.6575,EUR/AUD
241,1,20140323,0.9061,USD/AUD
242,4,20140323,92.75,JPY/AUD
243,3,20140323,0.6575,EUR/AUD
244,1,20140324,0.9081,USD/AUD
245,4,20140324,93.06,JPY/AUD
246,3,20140324,0.658,EUR/AUD
247,1,20140325,0.9136,USD/AUD
248,4,20140325,93.47,JPY/AUD
249,3,20140325,0.6606,EUR/AUD
250,1,20140326,0.9195,USD/AUD
251,4,20140326,94.06,JPY/AUD
252,3,20140326,0.6658,EUR/AUD
253,1,20140327,0.9239,USD/AUD
254,4,20140327,94.38,JPY/AUD
255,3,20140327,0.6701,EUR/AUD
256,1,20140328,0.927,USD/AUD
257,4,20140328,94.72,JPY/AUD
258,3,20140328,0.6741,EUR/AUD
259,1,20140329,0.927,USD/AUD
260,4,20140329,94.72,JPY/AUD
261,3,20140329,0.6741,EUR/AUD
262,1,20140330,0.927,USD/AUD
263,4,20140330,94.72,JPY/AUD
264,3,20140330,0.6741,EUR/AUD
265,1,20140331,0.9221,USD/AUD
266,4,20140331,94.83,JPY/AUD
267,3,20140331,0.6707,EUR/AUD
268,1,20140401,0.9263,USD/AUD
269,4,20140401,95.68,JPY/AUD
270,3,20140401,0.6725,EUR/AUD
271,1,20140402,0.9239,USD/AUD
272,4,20140402,95.92,JPY/AUD
273,3,20140402,0.6692,EUR/AUD
274,1,20140403,0.9219,USD/AUD
275,4,20140403,95.87,JPY/AUD
276,3,20140403,0.6701,EUR/AUD
277,1,20140404,0.9234,USD/AUD
278,4,20140404,95.95,JPY/AUD
279,3,20140404,0.6735,EUR/AUD
280,1,20140405,0.9234,USD/AUD
281,4,20140405,95.95,JPY/AUD
282,3,20140405,0.6735,EUR/AUD
283,1,20140406,0.9234,USD/AUD
284,4,20140406,95.95,JPY/AUD
285,3,20140406,0.6735,EUR/AUD
286,1,20140407,0.9279,USD/AUD
287,4,20140407,95.61,JPY/AUD
288,3,20140407,0.6771,EUR/AUD
289,1,20140408,0.9292,USD/AUD
